Time,controller_network_latency.mean {controllerid: 2828},controller_network_latency.mean {controllerid: 2830},controller_network_latency.mean {controllerid: 2831},controller_network_latency.mean {controllerid: 2832},controller_network_latency.mean {controllerid: 2833},controller_network_latency.mean {controllerid: 2834},controller_network_latency.mean {controllerid: 2835},controller_network_latency.mean {controllerid: 2836},controller_network_latency.mean {controllerid: 2837},controller_network_latency.mean {controllerid: 2838},controller_network_latency.mean {controllerid: 2839},controller_network_latency.mean {controllerid: 2840},controller_network_latency.mean {controllerid: 2841},controller_network_latency.mean {controllerid: 2842},controller_network_latency.mean {controllerid: 2843},controller_network_latency.mean {controllerid: 2844},controller_network_latency.mean {controllerid: 2845},controller_network_latency.mean {controllerid: 2846},controller_network_latency.mean {controllerid: 2847},controller_network_latency.mean {controllerid: 2848},controller_network_latency.mean {controllerid: 2849},controller_network_latency.mean {controllerid: 2850},controller_network_latency.mean {controllerid: 2851},controller_network_latency.mean {controllerid: 2852},controller_network_latency.mean {controllerid: 2853},controller_network_latency.mean {controllerid: 2854},controller_network_latency.mean {controllerid: 2855},controller_network_latency.mean {controllerid: 2856},controller_network_latency.mean {controllerid: 2857},controller_network_latency.mean {controllerid: 2858},controller_network_latency.mean {controllerid: 2859},controller_network_latency.mean {controllerid: 2860},controller_network_latency.mean {controllerid: 2861},controller_network_latency.mean {controllerid: 4416},controller_network_latency.mean {controllerid: 8083},controller_network_latency.mean {controllerid: 8084}
1633288320000,,5.521,,8.393,7.595,18.725,,7.933,7.907,8.312,5.303,7.787,7.713,7.989,,6.147,7.874,8.256,13.925,8.152,,,9.249,7.911,7.967,8.273,,7.447,,6.567,,7.198,24.266,5.423,5.891,6.119
1633288380000,305.854,7.02,146.614,9.026,,6.984,6.339,6.785,17.134,20.204,6.601,7.661,6.311,8.619,6.604,,7.679,,12.769,6.953,7.3,6.763,,,,6.57,,7.908,8.022,7.586,6.476,,,,5.336,5.33
1633288440000,16.659,3.898,30.295,8.151,7.595,14.792,6.574,36.636,18.759,,,,,,7.154,18.234,6.376,7.904,,7.946,6.377,7.376,7.976,6.919,6.353,7.481,,,17.969,7.832,9.118,20.739,52.825,4.894,4.44,4.442
1633288500000,6.784,,7.167,,8.003,,8,20.784,,20.389,7.456,7.89,7.982,7.163,8.095,7.807,6.949,6.844,12.382,,8.181,8.66,9.243,8.807,7.164,6.2,,8.609,6.027,6.756,7.341,6.863,5.834,5.793,,5.497
1633288560000,,4.199,8.102,4.795,8.241,7.044,8.445,,18.277,9.637,7.45,18.59,7.794,8.341,6.86,5.947,,7.688,17.525,7.465,17.623,7.316,8.174,7.198,9.034,,,8.807,7.441,,7.288,18.632,8.39,6.462,5.477,
1633288620000,6.664,5.719,6.884,13.187,,52.644,,5.996,9.46,7.349,7.428,6.565,7.621,5.558,,7.301,6.358,6.004,32.854,8.266,,,11.071,8.012,,7.629,,8.638,,17.428,,9.794,7.483,4.844,6.195,4.314
1633288680000,7.731,4.987,,5.546,8.538,22.222,8.799,12.57,9.166,7.784,,7.824,6.826,7.692,6.946,,6.535,,,7.549,7.154,7.74,,,7.304,6.995,,6.915,7.502,6.393,8.264,,,5.815,4.982,5.779
1633288740000,6.447,5.327,6.724,19.491,12.343,7.675,6.798,25.506,7.213,,10.237,,,,7.281,6.89,7.218,7.478,54.139,8.076,7.054,9.367,20.296,7.245,8.066,7.851,,,18.242,6.868,7.205,9.915,7.888,,6.156,5.117
1633288800000,8.606,4.582,7.731,,7.18,,5.977,7.905,,7.809,6.968,7.113,6.564,7.863,7.031,6.991,7.707,6.104,19.941,,8.67,7.671,21.069,19.409,7.716,7.246,,5.942,7.395,18.467,7.788,6.283,7.506,6.24,5.944,4.378
1633288860000,,,6.85,8.553,8.67,9.962,8.089,,19.588,8.37,5.985,6.999,8.055,7.678,7.958,20.05,,7.33,11.719,7.262,6.476,7.446,8.737,7.956,6.211,,,7.788,17.984,,27.804,7.815,6.876,6.265,,5.396
